,time,lng,lat,elev,dist_cum,kmph,rouad_grad_deg_f
267,2808.3503158540425,3.67429,48.26016,180.36,99849.11492932223,120.08112002326645,-3.8931154668142276
268,2820.919369229138,3.67891,48.26232,164.4,100267.33372410618,119.78528663148822,-2.185452045522691
269,2889.568537885225,3.7081,48.26934,176.32,102564.68199560398,120.47420149870638,0.29728168408497047
270,2996.4045716296614,3.75611,48.26874,146.5,106118.89781806724,119.76461978619727,-0.4807023945803724
271,2999.486172702978,3.75746,48.26899,150.32,106222.68370926841,121.24515777185837,2.1079081129722774
272,3003.059268641444,3.75901,48.26929,154.67,106342.23752792052,120.45401370677459,2.083804128968453
273,3007.5390430847383,3.76096,48.26966,160.76,106492.4386978902,120.70344583982866,2.3218213109567967
274,3034.3899719394535,3.77274,48.27187,161.87,107398.27763078603,121.44906331060898,0.07020926250532493
275,3054.9225760583404,3.78161,48.27354,169.58,108080.54656492629,119.6228276103409,0.6474450693112719
276,3059.3877395991813,3.78355,48.2739,173.81,108229.65864319772,120.22034061400825,1.6249264917167519
277,3082.7281697367657,3.79352,48.27613,167.88,109008.07734790261,120.06236904885266,-0.436471269333217
278,3086.061355308105,3.79491,48.2765,164.32,109118.92332099045,119.71895790845817,-1.83951551432746
279,3183.475384299337,3.83912,48.27414,160.3,112401.23781284224,121.30010731544614,-0.07017271472609793
280,3203.814018121746,3.84824,48.27449,155.15,113077.32648250561,119.66974930766577,-0.43643322366941273
281,3259.2471701797494,3.87326,48.2727,156.45,114939.68609412287,120.94738171855613,0.0399946931863418
282,3266.698493683757,3.8766,48.27293,158.68,115188.20772387722,120.06965831431603,0.5141047861606396
283,3270.220148592138,3.87818,48.27303,159.2,115305.67119668415,120.07664382408653,0.25364149389549484
284,3281.5450869047004,3.88333,48.27313,159.31,115686.98096129832,121.21171124510732,0.016528649818302054
285,3292.3160024618182,3.88818,48.2731,157.13,116045.94764839335,119.97866538727959,-0.34795224269480546
286,3295.8320756232692,3.88978,48.27309,156.58,116164.36889514534,121.24790035119476,-0.26610471528500623
287,3299.8827154331184,3.8916,48.27308,155.68,116299.0732945723,119.71833110362583,-0.38280438130770017
288,3357.5685124497936,3.91765,48.27424,167.66,118231.33928241757,120.58700609150208,0.3552278247629135
289,3359.51857038427,3.91853,48.27419,168.29,118296.70588466748,120.67321895380748,0.5521967220153287
290,3388.1757323376505,3.93099,48.27207,175.2,119248.53902310925,119.57217898844122,0.41594147692242894
291,3412.854427846734,3.94212,48.27148,188.25,120074.99427995646,120.55900294871117,0.9046439991271523
292,3487.2136376612607,3.97201,48.26099,153.26,122576.3242944106,121.09849034834298,-0.8014330632184808
293,3498.3544078358436,3.97505,48.25835,155.1,122946.22144602003,119.527620166871,0.2850072359618312
294,3526.156045865845,3.98287,48.25182,147.58,123874.91516988006,120.25541093255787,-0.463936424138196
295,3539.161755462939,3.98708,48.24915,143.61,124305.41136670033,119.16199550536237,-0.5283619194291008
296,3542.4163956763946,3.98819,48.2485,142.91,124414.8621939254,121.06498788444081,-0.36643394895247633
297,3547.8292293509576,3.99,48.24742,141.84,124594.82031769094,119.68763211781561,-0.34066681935881993
298,3552.828128628859,3.99169,48.24641,140.39,124762.9716443108,121.09561368990984,-0.4940598615910706
299,3566.43425119992,3.99631,48.24371,136.69,125218.15169074455,120.43461747483622,-0.46572717075312176
300,3573.9412563968776,3.99898,48.24233,135.0,125468.43753256921,120.02509748280649,-0.38687124734802786
301,3577.014853114303,4.00011,48.24179,134.25,125571.43529410323,120.63779851802045,-0.417203971385372
302,3583.6194404149587,4.00259,48.24071,132.6,125790.87647207676,119.61205216052305,-0.43080453496613647
303,3585.902557608068,4.00347,48.24036,131.95,125866.7851523942,119.69216909560919,-0.49060721807127855
304,3588.9527096467837,4.00467,48.2399,131.21,125969.3249902893,121.0245954092856,-0.413479694100237
305,3590.4992739142667,4.00529,48.23968,131.0,126021.35114290666,121.10337304460629,-0.23126923186799694
306,3595.6038545384495,4.00734,48.23899,129.74,126191.46075222749,119.96961917964109,-0.42438144600281097
307,3600.068597678403,4.00917,48.23842,128.82,126341.07976702019,120.64041230808527,-0.3523045042022279
308,3602.8935446145165,4.01035,48.23809,128.31,126435.86276584417,120.78768326734819,-0.30828910160983364
309,3609.543287834483,4.01313,48.23739,127.95,126655.97294015296,119.16198886182636,-0.09370971740640899
310,3617.2584749865355,4.01642,48.23669,127.38,126911.76592683067,119.35611332445592,-0.1276756673050329
311,3620.998722557349,4.01803,48.23635,127.0,127036.85654210599,120.40010894069819,-0.17405245944283215
312,3623.28702346626,4.01902,48.23614,126.9,127113.80707565541,121.06009297078333,-0.07445789472365767
